iter	Passed	Remaining
0	0	347
1	0	402
2	1	382
3	1	350
4	1	329
5	1	311
6	2	310
7	2	325
8	2	317
9	3	304
10	3	301
11	3	292
12	3	284
13	4	288
14	4	280
15	4	284
16	4	282
17	5	281
18	5	278
19	5	276
20	5	278
21	6	277
22	6	274
23	6	270
24	6	268
25	7	268
26	7	268
27	7	267
28	8	270
29	8	269
30	8	270
31	8	271
32	9	272
33	9	279
34	10	280
35	10	286
36	11	288
37	11	287
38	11	286
39	11	283
40	12	281
41	12	281
42	12	282
43	12	279
44	13	279
45	13	280
46	13	279
47	14	278
48	14	277
49	14	277
50	14	278
51	15	280
52	15	282
53	16	281
54	16	280
55	16	281
56	17	282
57	17	282
58	17	281
59	17	280
60	18	280
61	18	279
62	18	280
63	19	278
64	19	277
65	19	280
66	20	279
67	20	280
68	20	279
69	20	278
70	21	277
71	21	276
72	21	274
73	22	275
74	22	275
75	22	274
76	22	274
77	23	273
78	23	271
79	23	271
80	24	272
81	24	271
82	24	270
83	24	271
84	25	270
85	25	270
86	25	271
87	26	270
88	26	271
89	26	271
90	27	271
91	27	276
92	28	276
93	29	280
94	29	282
95	30	282
96	30	283
97	30	284
98	31	284
99	31	287
100	32	289
101	32	288
102	33	287
103	33	288
104	33	288
105	34	286
106	34	287
107	34	287
108	35	287
109	35	286
110	35	286
111	36	285
112	36	286
113	36	285
114	37	286
115	37	285
116	37	285
117	37	283
118	38	284
119	38	283
120	38	283
121	39	282
122	39	282
123	39	281
124	40	280
125	40	280
126	40	280
127	41	279
128	41	279
129	41	280
130	42	280
131	42	281
132	43	281
133	43	282
134	44	282
135	44	284
136	45	284
137	45	283
138	45	284
139	46	283
140	47	289
141	48	290
142	48	290
143	48	289
144	49	289
145	49	288
146	49	287
147	49	287
148	50	286
149	50	285
150	50	284
151	50	283
152	50	282
153	51	281
154	51	280
155	51	279
156	51	278
157	52	278
158	52	278
159	52	277
160	53	276
161	53	275
162	53	275
163	53	274
164	54	276
165	54	276
166	55	276
167	55	276
168	56	275
169	56	276
170	58	282
171	58	282
172	60	288
173	60	287
174	61	287
175	61	287
176	61	287
177	63	293
178	63	293
179	64	292
180	64	293
181	65	294
182	65	293
183	66	293
184	66	293
185	66	292
186	67	292
187	67	291
188	67	290
189	68	289
190	68	288
191	68	288
192	68	288
193	69	287
194	69	287
195	70	287
196	71	289
197	72	294
198	73	295
199	74	297
200	74	298
201	75	297
202	75	297
203	76	297
204	76	297
205	77	297
206	77	297
207	77	296
208	78	297
209	79	297
210	79	297
211	79	296
212	80	296
213	80	296
214	81	295
215	81	295
216	82	296
217	82	297
218	83	296
219	83	296
220	84	297
221	85	298
222	86	302
223	87	302
224	88	303
225	88	303
226	88	302
227	89	302
228	90	304
229	90	303
230	91	303
231	91	302
232	91	302
233	92	302
234	92	301
235	94	306
236	95	308
237	96	310
238	97	309
239	97	310
240	99	312
241	99	312
242	100	312
243	100	312
244	102	315
245	102	314
246	103	314
247	103	314
248	104	314
249	104	313
250	105	313
251	105	312
252	105	312
253	106	311
254	106	311
255	107	311
256	107	311
257	108	312
258	110	315
259	111	316
260	111	316
261	113	319
262	117	330
263	118	330
264	119	330
265	119	329
266	120	329
267	120	329
268	121	330
269	123	333
270	124	333
271	124	333
272	125	333
273	125	333
274	126	333
275	127	333
276	128	334
277	128	334
278	129	333
279	129	333
280	130	332
281	130	331
282	130	331
283	131	330
284	131	329
285	131	329
286	132	328
287	133	329
288	135	332
289	135	332
290	136	332
291	136	331
292	137	332
293	138	332
294	139	332
295	139	332
296	140	332
297	141	332
298	141	331
299	142	331
300	142	330
301	142	330
302	143	329
303	143	329
304	144	328
305	144	328
306	145	327
307	145	327
308	149	334
309	150	334
310	150	334
311	152	335
312	153	337
313	154	337
314	154	336
315	155	336
316	155	335
317	156	335
318	156	334
319	157	334
320	157	334
321	158	334
322	159	333
323	159	333
324	160	333
325	161	333
326	162	334
327	163	334
328	163	334
329	165	336
330	166	336
331	166	335
332	167	335
333	167	334
334	168	334
335	168	333
336	169	333
337	170	333
338	170	332
339	171	332
340	171	331
341	171	330
342	172	330
343	173	329
344	174	331
345	176	333
346	177	333
347	178	333
348	179	334
349	180	334
350	180	333
351	181	333
352	183	336
353	184	336
354	184	335
355	185	334
356	185	334
357	186	333
358	186	333
359	187	332
360	188	332
361	189	334
362	190	334
363	191	333
364	191	333
365	193	334
366	193	334
367	194	333
368	194	333
369	195	332
370	196	332
371	196	331
372	197	331
373	198	331
374	198	330
375	198	330
376	199	330
377	201	330
378	202	331
379	203	331
380	203	331
381	204	331
382	206	333
383	207	332
384	208	332
385	208	331
386	209	331
387	209	330
388	210	330
389	210	329
390	211	329
391	212	328
392	212	328
393	212	327
394	213	326
395	214	326
396	215	326
397	217	328
398	217	328
399	218	327
400	219	327
401	219	327
402	220	326
403	221	326
404	221	325
405	222	324
406	222	324
407	223	324
408	224	323
409	224	323
410	224	322
411	225	321
412	225	320
413	226	320
414	226	319
415	227	319
416	228	318
417	229	319
418	230	319
419	231	319
420	231	318
421	232	317
422	232	317
423	233	317
424	235	318
425	236	318
426	236	317
427	237	316
428	237	316
429	238	315
430	238	314
431	238	314
432	239	313
433	240	313
434	242	314
435	243	314
436	244	314
437	244	313
438	245	313
439	246	313
440	247	314
441	248	313
442	249	313
443	249	312
444	250	311
445	250	311
446	250	310
447	251	309
448	251	308
449	252	308
450	252	307
451	252	306
452	253	305
453	254	305
454	255	306
455	256	306
456	257	306
457	258	305
458	258	305
459	259	304
460	259	303
461	261	304
462	262	304
463	262	303
464	263	302
465	264	302
466	264	302
467	265	301
468	265	300
469	265	299
470	266	299
471	266	298
472	267	298
473	268	297
474	270	299
475	271	298
476	271	297
477	272	297
478	272	296
479	272	295
480	273	294
481	274	294
482	274	294
483	275	293
484	275	292
485	276	291
486	276	291
487	276	290
488	277	289
489	277	289
490	278	288
